Topic,Learners,Courses,Release Year,YouTube Views,,Course Title,Learners,,Video Title,Views,Comments,Total LinkedIn Courses,116,,Artist,Views,Videos,,Talent,Views,,Channel,Views,Channel,Views
Artificial Intelligence,"60,400",6,2014,"9,755,526",,Articulating Your Value by Alessandra Wall,"223,860",,Foy Vance covers Prince - Purple Rain,"5,527,078",907,Total LinkedIn Learners,"2,775,571",,Allah-Las,"66,994",2,,Buzzsession,"18,565,239",,Coursera,"17,620",ANTI-Records YouTube Channel,"91,669"
Business & Sales,"170,041",14,2015,"3,636,409",,Managing Projects with Microsoft 365 by Christine Matheney,"157,519",,Cage The Elephant - Cigarette Daydreams,"4,041,808",921,Total YouTube Videos,245,,Andrew McMahon in the Wilderness,"10,754",1,,Citradelic Sessions,"34,796",,LinkedIn Learning,"2,010,491",Cage The Elephant YouTube Channel,"3,669,384"
Customer Experience,"173,132",5,2016,"13,375,599",,Emotional Intelligence Basics by Nicole Tetreault,"154,251",,Cage The Elephant - Trouble (The Wild Honey Pie Sessions),"3,313,712","1,011",Total YouTube Views,"29,803,911",,Arturo Castro,"104,930",2,,Elvis Costello for Music & Memory,"14,665",,Microsoft Philanthropies,"747,460",Chicano Batman YouTube Channel,"342,315"
L&D & Instructional Design,"88,768",9,2017,"1,440,415",,Optimizing Your Work with Microsoft 365 by Zakiya Mackey,"118,794",,New Year's Day - Pentatonix 2015 Recap Video,"1,887,357","5,478",,,,Bahamas,"671,085",2,,Full Album Stream,"91,669",,,,Death+Taxes YouTube Channel,"32,418"
Leadership & Management,"538,143",20,2018,"347,115",,Responding to Unreasonable Customer Demands by Vince Lopiccola,"103,140",,"Never Shout Never - ""Red Balloon"" (Official Music Video)","1,344,552","1,334",,,,Bayonne,"68,549",2,,Game Changers,"106,676",,,,Great Good Fine Ok YouTube Channel,"404,124"
Professional Effectiveness,"1,094,975",32,2019,"1,124,794",,Getting Started with Microsoft 365 by Courtney Hodge,"102,165",,Zocdoc (iPhone App TV Commercial),"1,124,794",2,,,,Bear's Den,"216,997",2,,Listening Party - Vinyl Video,"26,439",,,,Jim James YouTube Channel,"3,300"
Tech & Productivity,"650,112",29,2020,"124,053",,Collaborating with Microsoft 365 by Courtney Hodge,"90,986",,Marian Hill - Deep,"1,075,364",223,,,,Ben Talmi,"13,439",1,,Little Kids Rock,"77,676",,,,KEXP YouTube Channel,"15,223"
,,,,,,Working More Effectively with Different Personalities by Eric Zackrison,"83,152",,Cage The Elephant - Telescope,"932,101",292,,,,Benjamin Booker,"5,729",2,,Live on KEXP at Home,"15,223",,,,Love & Mercy YouTube Channel,"77,676"
,,,,,,Managing Data with Microsoft 365 by Christine Matheney,"74,797",,Mayer Hawthorne - Time For Love [Official Video],"744,056",338,,,,Big Data,"14,473",2,,NPR Tiny Desk Concert Series,"82,391",,,,Mayer Hawthorne YouTube Channel,"744,056"
,,,,,,Impress Interviewers with These Five Questions by Nneka Craigwell,"67,994",,Bahamas - Waves,"570,780",127,,,,Big Scary,"8,183",2,,Official Music Video,"2,502,291",,,,Music & Memory YouTube Channel,"14,665"
,,,,,,,,,,,,,,,Black English,"9,570",1,,On The Boat (Season 1),"1,215,692",,,,NPR Music YouTube Channel,"82,391"
,,,,,,,,,,,,,,,Bombay Bicycle Club,"239,162",2,,On The Boat (Season 2),"202,635",,,,Never Shout Never YouTube Channel,"1,344,552"
,,,,,,,,,,,,,,,Boy & Bear,"14,397",1,,On The Boat (Season 3),"123,156",,,,Pentatonix YouTube Channel,"1,887,357"
,,,,,,,,,,,,,,,Brendan Fitzgibbons,"44,914",1,,On The House,"109,147",,,,SPIN YouTube Channel,"41,598"
,,,,,,,,,,,,,,,Brian Wilson,"77,676",1,,On The Mountain (Season 2),"344,923",,,,SeatGeek YouTube Channel,"124,877"
,,,,,,,,,,,,,,,Broncho,"35,336",2,,On The Mountain (Season 3),"1,292,724",,,,Shallou YouTube Channel,"93,272"
,,,,,,,,,,,,,,,COIN,"46,311",1,,Promotional Material,"1,887,357",,,,Skullcandy YouTube Channel,"7,229"
,,,,,,,,,,,,,,,Cage The Elephant,"8,643,293",4,,Rebel With A Cause,"32,418",,,,Stereogum YouTube Channel,"36,296"
,,,,,,,,,,,,,,,Cariad Harmon feat. Lucius,"9,559",1,,SHURE - The Women's March,,,,,The Wild Honey Pie YouTube Channel,"19,119,927"
,,,,,,,,,,,,,,,Cass McCombs,"91,669",1,,SPIN,"1,500",,,,VIBE Magazine YouTube Channel,"106,676"
,,,,,,,,,,,,,,,Cathedrals,"7,704",2,,SPIN Full Disclosure,"40,098",,,,Zocdoc YouTube Channel,"1,564,906"
,,,,,,,,,,,,,,,Chicano Batman,"439,929",4,,SeatGeek,"121,336",,,,,
,,,,,,,,,,,,,,,Creepoid,"32,418",1,,SeatGeek x MLS,"3,541",,,,,
,,,,,,,,,,,,,,,Cults,"19,577",1,,SeatGeek x Sporting KC,,,,,,
,,,,,,,,,,,,,,,Dan Croll,"42,693",3,,Skullcandy and Google Play Music,"7,229",,,,,
,,,,,,,,,,,,,,,Death Vessel,"16,699",1,,Souls Sessions,"93,272",,,,,
,,,,,,,,,,,,,,,Delta Spirit,"16,306",1,,Spooky Mansion,"445,854",,,,,
,,,,,,,,,,,,,,,Diane Coffee,"22,914",1,,Stereogum,"1,500",,,,,
,,,,,,,,,,,,,,,Dom Dwyer,,1,,Vinyl Unboxing,"3,300",,,,,
,,,,,,,,,,,,,,,Dr. Dog,"31,838",3,,Welcome Campers (Season 2),"655,340",,,,,
,,,,,,,,,,,,,,,Elvis Costello,"14,665",1,,Welcome Campers (Season 3),"140,918",,,,,
,,,,,,,,,,,,,,,Fear of Men,"11,695",1,,Zocdoc,"1,564,906",,,,,
,,,,,,,,,,,,,,,Fort Lean,"5,952",2,,,,,,,,
,,,,,,,,,,,,,,,Foy Vance,"5,542,759",2,,,,,,,,
,,,,,,,,,,,,,,,Freelance Whales,"111,658",4,,,,,,,,
,,,,,,,,,,,,,,,Goldensuns,"25,712",2,,,,,,,,
,,,,,,,,,,,,,,,Gordi,"9,333",2,,,,,,,,
,,,,,,,,,,,,,,,Great Good Fine Ok,"793,055",4,,,,,,,,
,,,,,,,,,,,,,,,Hamilton Leithauser,"47,827",2,,,,,,,,
,,,,,,,,,,,,,,,Hands,"9,847",2,,,,,,,,
,,,,,,,,,,,,,,,Jim James,"3,300",1,,,,,,,,
,,,,,,,,,,,,,,,Jonas Alaska,"3,200",1,,,,,,,,
,,,,,,,,,,,,,,,"Judah Friedlander, Kaka, Tim Howard, Nicolas Lodeiro, Richie Marquez, Justin Morrow, Bradley Wright Phillips, Andrew Wenger, Kei Kamara, Jack Harrison, Miguel Almiron, Giovani dos Santos, Diego Valeri, Dom Dwyer, Luciano Acosta, Tim Parker, Michael de Leeuw, Matteo Mancosu","3,541",1,,,,,,,,
,,,,,,,,,,,,,,,Jukebox The Ghost,"52,606",2,,,,,,,,
,,,,,,,,,,,,,,,Kaiser Chiefs,"125,872",2,,,,,,,,
